Código;Cant. por caja
13051200;20
13051201;20
13051202;20
13051203;20
13051204;20
13051205;20
130521;100
130522;100
130524;100
130525;100
13060700;20
13060701;20
13060702;20
13060703;20
13060704;20
13060705;20
13060706;20
13061200;20
13061201;20
13061202;20
13061203;20
13061204;20
13061205;20
13061206;20
130721;100
130722;100
130725;100
1310321;100
1320421;20
1320422;20
1320423;20
1320424;20
1320425;20
1320426;20
1321021;20
1321022;20
1321023;20
1321024;20
1321025;20
1330421;20
1330422;20
1330423;20
1330424;20
1330425;20
1330426;20
1331021;20
1331022;20
1331023;20
1331024;20
1331025;20
1331026;20
1340221;15
1340222;15
1340223;15
1340224;15
1340225;15
1340226;15 / 25
1340421;15 / 20
1340422;15
1340423;15 / 20
1340424;15 / 20
1340425;15 / 25
1340426;15 / 25
1340821;15 / 25
1340822;15
1340823;15
1340824;15
1340825;15
1340826;15
1350421;10
1350422;10
1350423;10
1350424;10
1350425;10
1350426;10
1360221;25
1360222;25
1360223;25
1360225;25
1360520;24
1360521;24
1360522;24
1360523;24
1360524;24
1360525;24
1360526;24
1360821;25
1360822;25
1360825;25
1360921;25
1360922;25
1360923;25
1360924;25
1360925;25
1370421;20
1370422;20
1370423;20
1370424;20
1370425;20
1370426;20
1380520;24
1380521;24
1380522;24
1380523;24
1380524;24
1380525;24
1380526;24
1390420;20
1390421;20
1390422;20
1390423;20
1390424;20
1390425;20
14000400;30
14000401;30
14000402;30
14000403;30
14000404;30
14000405;30
14000406;30
14000800;30
14000801;30
14000802;30
14000803;30
14000804;30
14000805;30
14000806;30
1400421;20
1400422;20
1400423;20
1400424;20
1400425;20
1400426;20
1410822;100
1410823;100
1410824;100
1410825;100
1411021;100
1411022;100
1411023;100
1411024;100
1411025;100
1420822;100
1420823;100
1420824;100
1420825;100
1421022;100
1421023;100
1421024;100
1421025;100
1431024;100
1441022;100
1441023;100
1441024;100
1460622;100
1461022;100
1473141;20
1473142;20
1473143;20
1473144;20
1473145;20
1473146;20
1473241;20
1473242;20
1473243;20
1473244;20
1473245;20
1473246;20
1480251;40
1480252;40
1480253;40
1480254;40
1480255;40
1480256;40
1480451;40
1480452;40
1480453;40
1480454;40
1480455;40
1480456;40
1480951;40
1480952;40
1480953;40
1480954;40
1480955;40
1480956;40
1490250;40
1490251;40
1490252;40
1490253;40
1490254;40
1490255;40
1490450;40
1490451;40
1490452;40
1490453;40
1490454;40
1490455;40
1490950;40
1490951;40
1490952;40
1490953;40
1490954;40
15000500;40
15000501;40
15000502;40
15000503;40
15000504;40
15000505;40
15002000;40
15002001;40
15002002;40
15002003;40
15002004;40
15002005;40
15002700;40
15002701;40
15002702;40
15002703;40
15002704;40
15002705;40
1500438;30
1500440;30
1500442;30
1500444;30
1500446;30
1500448;30
1500450;30
1500452;30
1500454;30
1500456;30
1500458;30
1500460;30
15013400;50
15013401;50
15013402;50
15013403;50
15013404;50
15013405;50
15013406;50
15014000;50
15014001;50
15014002;50
15014003;50
15014004;50
15014005;50
15014006;50
15023400;50
15023401;50
15023402;50
15023403;50
15023404;50
15023405;50
15023406;50
15024000;50
15024001;50
15024002;50
15024003;50
15024004;50
15024005;50
15024006;50
15030500;40
15030501;40
15030502;40
15030503;40
15030504;40
15030506;40
15032000;40
15032001;40
15032002;40
15032003;40
15032004;40
15032005;40
15032006;40
15032700;40
15032701;40
15032702;40
15032703;40
15032704;40
15032705;40
15032706;40
15043400;50
15043401;50
15043402;50
15043403;50
15043404;50
15043405;50
15043406;50
15044000;50
15044001;50
15044002;50
15044003;50
15044004;50
15044005;50
15044006;50
15053400;50
15053401;50
15053402;50
15053403;50
15053404;50
15053405;50
15053406;50
